NETWORK STATION CHANNEL START_TIME START_TIME_MINUTES END_TIME END_TIME_MINUTES LAT LON ELEVATION DEPTH AZIMUTH DIP SAMPLE_RATE days
7D FS07B HH1 2012-09-13 16:56:30 2013-07-03 02:27:38 40.339199 -124.659599 -1297.0 0.0 0.0 0.0 125.0 293.0
7D FS07B HH2 2012-09-13 16:56:30 2013-07-03 02:27:38 40.339199 -124.659599 -1297.0 0.0 0.0 0.0 125.0 293.0
7D FS07B HHZ 2012-09-13 16:56:30 2013-07-03 02:27:38 40.339199 -124.659599 -1297.0 0.0 0.0 -90.0 125.0 293.0
7D FS07D BH1 2014-07-17 00:00:00 2015-08-27 23:59:59 40.337898 -124.6577 -1273.7 0.0 0.0 0.0 50.0 406.0
7D FS07D BH2 2014-07-17 00:00:00 2015-08-27 23:59:59 40.337898 -124.6577 -1273.7 0.0 0.0 0.0 50.0 406.0
7D FS07D BHZ 2014-07-17 00:00:00 2015-08-27 23:59:59 40.337898 -124.6577 -1273.7 0.0 0.0 -90.0 50.0 406.0
7D FS08B HH1 2012-09-14 21:29:30 2013-07-02 01:26:09 40.336601 -124.459801 -120.0 0.0 0.0 0.0 125.0 291.0
7D FS08B HH2 2012-09-14 21:29:30 2013-07-02 01:26:09 40.336601 -124.459801 -120.0 0.0 0.0 0.0 125.0 291.0
7D FS08B HHZ 2012-09-14 21:29:30 2013-07-02 01:26:09 40.336601 -124.459801 -120.0 0.0 0.0 -90.0 125.0 291.0
7D FS08D BH1 2014-08-12 01:09:00 2015-09-15 10:18:00 40.334702 -124.465302 -132.0 0.0 0.0 -90.0 50.0 399.0
7D FS08D BH2 2014-08-12 01:09:00 2015-09-15 10:18:00 40.334702 -124.465302 -132.0 0.0 0.0 -90.0 50.0 399.0
7D FS08D BHZ 2014-08-12 01:09:00 2015-09-15 10:18:00 40.334702 -124.465302 -132.0 0.0 0.0 -90.0 50.0 399.0
7D FS09B BH1 2012-08-28 00:00:00 2013-06-12 23:59:59 40.438702 -124.808502 -2161.0 0.0 0.0 0.0 50.0 288.0
7D FS09B BH2 2012-08-28 00:00:00 2013-06-12 23:59:59 40.438702 -124.808502 -2161.0 0.0 0.0 0.0 50.0 288.0
7D FS09B BHZ 2012-08-28 00:00:00 2013-06-12 23:59:59 40.438702 -124.808502 -2161.0 0.0 0.0 -90.0 50.0 288.0
7D FS09D BH1 2014-07-16 00:00:00 2015-08-28 23:59:59 40.437698 -124.803703 -2122.1 0.0 0.0 0.0 50.0 408.0
7D FS09D BH2 2014-07-16 00:00:00 2015-08-28 23:59:59 40.437698 -124.803703 -2122.1 0.0 0.0 0.0 50.0 408.0
7D FS09D BHZ 2014-07-16 00:00:00 2015-08-28 23:59:59 40.437698 -124.803703 -2122.1 0.0 0.0 -90.0 50.0 408.0
7D FS10B HH1 2012-09-13 14:03:30 2013-07-02 23:35:54 40.432999 -124.6819 -1076.0 0.0 0.0 0.0 125.0 292.0
7D FS10B HH2 2012-09-13 14:03:30 2013-07-02 23:35:54 40.432999 -124.6819 -1076.0 0.0 0.0 0.0 125.0 292.0
7D FS10B HHZ 2012-09-13 14:03:30 2013-07-02 23:35:54 40.432999 -124.6819 -1076.0 0.0 0.0 -90.0 125.0 292.0
7D FS10D BH1 2014-07-17 00:00:00 2015-08-27 23:59:59 40.4328 -124.694 -1153.8 0.0 0.0 0.0 50.0 406.0
7D FS10D BH2 2014-07-17 00:00:00 2015-08-27 23:59:59 40.4328 -124.694 -1153.8 0.0 0.0 0.0 50.0 406.0
7D FS10D BHZ 2014-07-17 00:00:00 2015-08-27 23:59:59 40.4328 -124.694 -1153.8 0.0 0.0 -90.0 50.0 406.0
7D FS11B HH1 2012-09-15 21:06:30 2013-07-02 19:45:16 40.429199 -124.577797 -132.0 0.0 0.0 0.0 125.0 290.0
7D FS11B HH2 2012-09-15 21:06:30 2013-07-02 19:45:16 40.429199 -124.577797 -132.0 0.0 0.0 0.0 125.0 290.0
7D FS11B HHZ 2012-09-15 21:06:30 2013-07-02 19:45:16 40.429199 -124.577797 -132.0 0.0 0.0 -90.0 125.0 290.0
7D FS11D HH1 2014-09-15 14:32:20 2015-09-11 15:54:32 40.428501 -124.577499 -150.0 0.0 0.0 0.0 125.0 361.0
7D FS11D HH2 2014-09-15 14:32:20 2015-09-11 15:54:32 40.428501 -124.577499 -150.0 0.0 0.0 0.0 125.0 361.0
7D FS11D HHZ 2014-09-15 14:32:20 2015-09-11 15:54:32 40.428501 -124.577499 -150.0 0.0 0.0 -90.0 125.0 361.0
7D FS12B HH1 2012-09-15 10:43:30 2013-07-02 03:19:25 40.437099 -124.505898 -60.0 0.0 0.0 0.0 125.0 290.0
7D FS12B HH2 2012-09-15 10:43:30 2013-07-02 03:19:25 40.437099 -124.505898 -60.0 0.0 0.0 0.0 125.0 290.0
7D FS12B HHZ 2012-09-15 10:43:30 2013-07-02 03:19:25 40.437099 -124.505898 -60.0 0.0 0.0 -90.0 125.0 290.0
7D FS12D HH1 2014-09-15 22:15:20 2015-09-11 17:34:53 40.445599 -124.510498 -55.0 0.0 0.0 0.0 125.0 361.0
7D FS12D HH2 2014-09-15 22:15:20 2015-09-11 17:34:53 40.445599 -124.510498 -55.0 0.0 0.0 0.0 125.0 361.0
7D FS12D HHZ 2014-09-15 22:15:20 2015-09-11 17:34:53 40.445599 -124.510498 -55.0 0.0 0.0 -90.0 125.0 361.0
7D FS13B HH1 2012-09-13 00:16:30 2013-07-03 18:31:00 40.493099 -124.806503 -2332.0 0.0 0.0 0.0 125.0 293.0
7D FS13B HH2 2012-09-13 00:16:30 2013-07-03 18:31:00 40.493099 -124.806503 -2332.0 0.0 0.0 0.0 125.0 293.0
7D FS13B HHZ 2012-09-13 00:16:30 2013-07-03 18:31:00 40.493099 -124.806503 -2332.0 0.0 0.0 -90.0 125.0 293.0
7D FS13D BH1 2014-07-16 00:00:00 2015-08-28 23:59:59 40.493698 -124.803398 -2291.2 0.0 0.0 0.0 50.0 408.0
7D FS13D BH2 2014-07-16 00:00:00 2015-08-28 23:59:59 40.493698 -124.803398 -2291.2 0.0 0.0 0.0 50.0 408.0
7D FS13D BHZ 2014-07-16 00:00:00 2015-08-28 23:59:59 40.493698 -124.803398 -2291.2 0.0 0.0 -90.0 50.0 408.0
7D FS14B BH1 2012-09-02 23:24:00 2013-06-19 03:54:00 40.495499 -124.591797 -107.0 0.0 0.0 -90.0 50.0 290.0
7D FS14B BH2 2012-09-02 23:24:00 2013-06-19 03:54:00 40.495499 -124.591797 -107.0 0.0 0.0 -90.0 50.0 290.0
7D FS14B BHZ 2012-09-02 23:24:00 2013-06-19 03:54:00 40.495499 -124.591797 -107.0 0.0 0.0 -90.0 50.0 290.0
7D FS14D HH1 2014-09-14 23:48:50 2015-09-11 01:10:32 40.492298 -124.603897 -145.0 0.0 0.0 0.0 125.0 362.0
7D FS14D HH2 2014-09-14 23:48:50 2015-09-11 01:10:32 40.492298 -124.603897 -145.0 0.0 0.0 0.0 125.0 362.0
7D FS14D HHZ 2014-09-14 23:48:50 2015-09-11 01:10:32 40.492298 -124.603897 -145.0 0.0 0.0 -90.0 125.0 362.0
